iter 1,iter 2,iter 3,iter 4,iter 5,caption
-0.4806 /  2.3549, 0.3709 /  1.5775, 0.8044 /  0.5523, 1.1997 /  0.1904, 1.3911 / -0.0533,Constant rattling noise and sharp vibrations
 3.1760 /  4.1468, 5.5118 /  2.4015, 6.5494 /  0.4223, 6.9391 / -0.3380, 6.9601 / -0.6247,A rocket flies by followed by a loud explosion and fire crackling as a truck engine runs idle
-0.3145 /  2.1096,-0.4676 /  0.6267,-1.4526 / -0.3930,-2.3241 / -0.4288,-2.9931 / -0.3312,Humming and vibrating with a man and children speaking and laughing
 0.9379 /  2.6017, 1.6963 /  1.2409, 2.2012 /  0.3131, 2.5355 / -0.1329, 2.9844 / -0.2430,A train running on a railroad track followed by a vehicle door closing and a man talking in the distance while a train horn honks and railroad crossing warning signals ring
 0.0939 /  1.5190,-1.1299 /  0.0384,-1.8756 / -0.1108,-2.6569 / -0.2763,-3.2843 / -0.2424,"Food is frying, and a woman talks"
 1.6321 /  3.1826, 2.4969 /  1.1837, 2.8104 /  0.1078, 2.9168 / -0.3014, 2.6484 / -0.6424,A man speaks as birds chirp and dogs bark
 1.7699 /  3.0826, 2.4895 /  1.2958, 2.5816 /  0.1009, 2.2595 / -0.4340, 1.7147 / -0.5651,A large truck driving by as an emergency siren wails and truck horn honks
-1.5855 /  1.4356,-2.9458 /  0.1772,-4.0403 / -0.1768,-5.0666 / -0.2517,-5.5014 / -0.1162,A child yelling as a young boy talks during several slaps on a hard surface
 1.8275 /  3.5726, 3.2232 /  1.3480, 4.1633 /  0.0668, 3.9302 / -0.6648, 3.3563 / -0.5834,"An engine rumbles loudly, then an air horn honk three times"
-1.8997 /  1.1766,-4.1113 / -0.2213,-6.2936 / -0.3817,-8.0520 / -0.2422,-9.7232 / -0.1683,A person snoring with another man speaking
-0.0841 /  1.5096,-0.5270 /  0.5335,-0.7666 /  0.3423,-0.9443 /  0.1295,-1.0260 /  0.0126,Thunder and a gentle rain
-1.3498 /  1.3579,-2.4236 /  0.3766,-3.3117 / -0.0954,-4.0066 / -0.1914,-4.6313 / -0.2091,A woman talks and a baby whispers
-0.3261 /  2.0029,-0.8038 /  0.4656,-1.6923 / -0.2558,-2.4848 / -0.3406,-3.2017 / -0.3124,A man talking as a stream of water trickles in the background
-0.9341 /  1.1849,-2.2126 /  0.0798,-3.2419 / -0.1271,-4.2420 / -0.1790,-5.0433 / -0.1533,A person briefly talks followed quickly by toilet flushing and another voice from another person
 0.8800 /  2.4084, 0.8476 /  0.7857, 0.8612 /  0.1749, 0.4502 / -0.3160, 0.4416 / -0.1838,A woman singing then choking followed by birds chirping
-0.6909 /  1.1803,-1.2182 /  0.4624,-1.5832 /  0.2613,-1.8064 /  0.1234,-1.9797 /  0.0676,Machinery banging and hissing
-0.0334 /  1.4920,-0.0299 /  0.7756,-0.3107 /  0.2656,-0.4349 /  0.1472,-0.4373 /  0.0787,A person talking which later imitates a couple of meow sounds
 0.0072 /  2.1259, 0.0297 /  0.9372, 0.0083 /  0.2839, 0.0075 /  0.0324,-0.0126 / -0.1167,Rain is falling continuously
